OBJECTID,Name,kV,kV_Sort,Owner,Status,Circuit,Type,Legend,Length_Mile,Length_Feet,TLine_Name,Engineering_ID,Engineering_Name,Structure_Type,Structure_Material,Source,Comments,Creator,Creator_Date,Last_Editor,Last_Editor_Date,GlobalID,Shape__Length
1,AMP 115kV,115,115,AMP,Operational,Single,OH,Other_110_161kV,2,10879.98077, , , , , ,AMP, ,FTHONG,2012/08/31 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:11+00,25079e29-0a11-4bbb-839a-61616871d910,4198.109765
2,AMP 115kV,115,115,AMP,Operational,Single,OH,Other_110_161kV,3,16505.41124, , , , , ,AMP, ,FTHONG,2012/08/31 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:11+00,a31ca387-0f42-4e54-bea4-4767a77c8351,6368.076989
3,AMP 115kV,115,115,AMP,Operational,Single,OH,Other_110_161kV,1,3807.240142, , , , , ,AMP, ,FTHONG,2012/08/31 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:11+00,0fa76fc2-0381-471d-8c24-7f22a3bfc15a,1470.170054
4,AMP 115kV,115,115,AMP,Operational,Single,OH,Other_110_161kV,1,6135.615577,,,,,,AMP,Partially underwater,FTHONG,2012/08/31 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:09+00,957cb685-7311-46d7-8fdd-0c600f4fc1a5,2368.33813
5,ANZA 34kV,34,34,ANZA,Operational,Single,OH,Other_33_92kV,24,127189.4056,,,,,,City of Anza,,FTHONG,2012/08/24 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:07+00,4323ce1c-f66a-49a3-b607-94dc031f9927,46585.77822
6,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,2,9248.841388, , , , , ,APUD, ,FTHONG,2012/08/08 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:35+00,c4b94e82-a4be-4757-8ed1-cf3dab2cbe39,3402.355659
7,APUD 69kV,69,69,APUD,Operational,Single,UG,Other_33_92kV,2,11733.56624, , , , , ,APUD,,FTHONG,2012/08/14 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:35+00,fed15a4f-c95b-4110-a6aa-21184d822b2f,4305.120538
8,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,0,636.6419623, , , , , ,APUD, ,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:35+00,1b31b617-73a1-4394-994f-d9b66c39279b,234.1446304
9,APUD 69kV,69,69,APUD,Operational,Double,OH,Other_33_92kV,3,13212.03647, , , , , ,APUD, ,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:35+00,f4c090a1-71e6-45c6-8dd9-e9e6a96a153b,4863.606962
10,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,1,5195.393356, , , , , ,APUD, ,FTHONG,2012/08/22 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:38+00,a390bcec-d5f3-4957-a829-21adf840c047,1912.383848
11,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,1,4448.303755, , , , , ,APUD, ,FTHONG,2012/08/22 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:38+00,2c4c7cae-aad9-48b9-af7f-402cdd2bdcd6,1637.522197
12,APUD 69kV,69,69,APUD,Operational,Single,UG,Other_33_92kV,1,4672.067698, , , , , ,APUD, ,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:38+00,a7eb78f9-8cd0-40ca-8b25-bccd92844838,1716.410758
13,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,2,11864.38515, , , , , ,APUD, ,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:38+00,556a0f8a-85af-4af1-83a6-757dedf8771e,4357.725066
14,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,0,2153.167559, , , , , ,APUD, ,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:38+00,aabb68b9-9f3b-441c-a42e-d08acfa3a951,792.3301351
15,APUD 69kV,69,69,APUD,Operational,Double,OH,Other_33_92kV,1,7586.094753, , , , , ,APUD, ,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:39+00,d1c5265c-d3cd-4fe5-a95c-2f491265615f,2781.820278
16,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,2,9321.959367, , , , , ,APUD,,FTHONG,2012/08/08 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,f153fb8f-07e4-43db-8c5b-f2cb589170b7,3415.80256
17,APUD 69kV,69,69,APUD,Operational,Single,UG,Other_33_92kV,0,1903.703987, , , , , ,APUD,,FTHONG,2012/08/08 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,34bfd6a6-b32f-445e-ac0a-4b09a7cbacd8,698.0155226
18,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,1,5572.137305, , , , , ,APUD,,FTHONG,2012/08/08 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,6d4e4782-e43e-492a-a27a-a2ace42f28cd,2048.216039
19,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,0,1065.079622, , , , , ,APUD,,FTHONG,2012/08/08 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,b1250582-f110-46ff-99d0-f6bb39ae9269,390.2731433
20,APUD 69kV,69,69,APUD,Operational,Single,UG,Other_33_92kV,2,8059.98812,,,,,,APUD,,FTHONG,2012/08/15 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,bb1de975-92a9-489c-ad12-8a92943a1177,2966.49989
21,APUD 69kV,69,69,APUD,Operational,Double,OH,Other_33_92kV,3,17482.19329,,,,,,APUD,,FTHONG,2012/08/15 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,48c451ad-68e8-4c81-8234-0943108919b3,6415.01768
22,APUD 69kV,69,69,APUD,Operational,Double,UG,Other_33_92kV,0,1626.833462,,,,,,APUD,,FTHONG,2012/08/15 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,f3938a6f-5204-45fa-bf0d-f41155fe4905,598.9151758
23,APUD 69kV,69,69,APUD,Operational,Double,OH,Other_33_92kV,0,1599.02203,,,,,,APUD,,FTHONG,2012/08/15 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,19aabee3-bada-4b8e-b028-febd1ba71c26,587.1800618
24,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,1,4370.713983, , , , , ,APUD, ,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,dbc1648f-00e1-4c93-b2a6-14fedcaca5eb,1604.93165
25,APUD 69kV,69,69,APUD,Operational,Double,UG,Other_33_92kV,3,15609.11106,,,,,,APUD,,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,e617a63c-8e85-46d1-96ab-6cc5721fa80e,5727.279803
26,APUD 69kV,69,69,APUD,Operational,Double,OH,Other_33_92kV,1,2923.982922,,,,,,APUD,,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,59ac8871-69bc-4071-95af-b1f423788b41,1071.922893
27,APUD 69kV,69,69,APUD,Operational,Double,UG,Other_33_92kV,2,10480.90925,,,,,,APUD,,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,072f8137-147e-4c24-93dd-77d3e156ac05,3852.435689
28,APUD 69kV,69,69,APUD,Operational,Single,UG,Other_33_92kV,1,4499.673533,,,,,,APUD,,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,359c97ed-c46e-4215-9fcf-674fc68ad14e,1652.897044
29,APUD 69kV,69,69,APUD,Operational,Single,UG,Other_33_92kV,1,6024.087198,,,,,,APUD,,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,9161fc3f-5340-4fef-bd06-62b41b1bd164,2215.816108
30,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,0,1485.088007, , , , , ,APUD, ,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,643a8048-9421-43ef-b797-c2e20130c319,546.0608038
31,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,1,4117.875517, , , , , ,APUD,,FTHONG,2012/08/08 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,c75f663f-041d-4001-bc5b-624e6e63d8a7,1513.086559
32,APUD 69kV,69,69,APUD,Operational,Double,OH,Other_33_92kV,1,2642.913257, , , , , ,APUD, ,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,c339abe3-1cc9-4b26-b94f-a3afd88c5da9,972.9309596
33,APUD 69kV,69,69,APUD,Operational,Single,UG,Other_33_92kV,0,221.3202354, , , , , ,APUD, ,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,944a0de5-ff96-4977-a5ae-9eca422fdaeb,81.4664715
34,APUD 69kV,69,69,APUD,Operational,Double,OH,Other_33_92kV,0,906.99196,,,,,,APUD,,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,0efb1020-8c15-49d1-8efb-18bb08dad513,333.9665721
35,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,0,1582.511408, , , , , ,APUD, ,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,a812ae42-1715-48bb-9289-d1be505d96a3,580.5809389
36,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,0,1594.888297, , , , , ,APUD,,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,1138f2d6-e014-4d50-8980-0770a28b7c03,584.950628
37,APUD 69kV,69,69,APUD,Operational,Double,OH,Other_33_92kV,1,4716.569379, , , , , ,APUD,,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,ededf044-9789-4bac-9552-b8cc348b31ab,1729.759671
38,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,1,2774.615048, , , , , ,APUD, ,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,867d1e30-a000-441f-aee6-6a794871842c,1021.642862
39,APUD 69kV,69,69,APUD,Operational,Double,UG,Other_33_92kV,0,798.1223832, , , , , ,APUD,,FTHONG,2012/08/22 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,02f097e5-75f8-45f8-b516-b17a32fe0098,292.878354
40,APUD 69kV,69,69,APUD,Operational,Double,OH,Other_33_92kV,0,1385.269952, , , , , ,APUD,,FTHONG,2012/08/22 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,08f29db2-faed-415a-9e62-f8fbbdbf4ecf,508.0244004
41,APUD 69kV,69,69,APUD,Operational,Double,UG,Other_33_92kV,0,805.7740551, , , , , ,APUD,,FTHONG,2012/08/22 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,98d48cae-fb38-470d-a907-643d07117132,296.2992597
42,APUD 69kV,69,69,APUD,Operational,Double,OH,Other_33_92kV,1,3396.514778, , , , , ,APUD,,FTHONG,2012/08/22 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,a3cefda8-bbb2-490c-8ef3-d9c018bfb9f0,1247.623254
43,APUD 69kV,69,69,APUD,Operational,Double,UG,Other_33_92kV,2,10967.63366, , , , , ,APUD,,FTHONG,2012/08/21 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,1c30e299-3294-4a37-bae7-c925fe6d5bbc,4031.206152
44,APUD 69kV,69,69,APUD,Operational,Double,UG,Other_33_92kV,0,1020.911684,,,,,,APUD,,FTHONG,2012/08/22 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,cde1cd50-0ed9-433b-973d-4f67c642519f,374.3625586
45,APUD 69kV,69,69,APUD,Operational,Double,UG,Other_33_92kV,0,1069.510805,,,,,,APUD,,FTHONG,2012/08/22 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,2712c66e-aae5-421f-af12-57f62634d33c,392.2371756
46,APUD 69kV,69,69,APUD,Operational,Single,UG,Other_33_92kV,0,1526.685912,,,,,,APUD,,FTHONG,2012/08/22 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,c9957ebb-3995-40c0-a9d3-de2a9131edbf,561.6406195
47,APUD 69kV,69,69,APUD,Operational,Single,UG,Other_33_92kV,0,1881.701852, , , , , ,APUD, ,FTHONG,2012/08/22 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,e92a9f6e-0550-4ac9-a4cc-cb8181bffd8b,692.2500124
48,APUD 69kV,69,69,APUD,Operational,Single,UG,Other_33_92kV,0,1462.476764, , , , , ,APUD, ,FTHONG,2012/08/22 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,a6aca03e-3b5a-470f-a25d-00e3e36fdf92,537.728835
49,APUD 69kV,69,69,APUD,Operational,Single,UG,Other_33_92kV,2,11059.39438,,,,,,APUD,,FTHONG,2012/08/22 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,31050df2-6898-4e59-88f8-5b5016b1e65b,4063.034899
50,APUD 69kV,69,69,APUD,Operational,Single,UG,Other_33_92kV,2,10219.45568,,,,,,APUD,,FTHONG,2012/08/22 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,bd8b3ab9-6333-43a0-8eb5-7f5f4728aec8,3754.201138
51,APUD 69kV,69,69,APUD,Operational,Duble,UG,Other_33_92kV,1,2698.226517,,,,,,APUD,,FTHONG,2012/08/22 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,7fd6a56e-12e7-4bfd-ba24-8c0a3643b353,992.2782466
52,APUD 69kV,69,69,APUD,Operational,Single,UG,Other_33_92kV,4,19761.09388,,,,,,APUD,,FTHONG,2012/08/24 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,a1ba9201-3b66-43a4-bc95-c171badd96a7,7247.168928
53,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,1,4910.370886,,,,,,APUD,,FTHONG,2012/08/24 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,e2176094-d17f-486b-a3c9-a53cefc4e3fb,1802.646203
54,APUD 69kV,69,69,APUD,Operational,Duble,OH,Other_33_92kV,0,789.9013305,,,,,,APUD,,FTHONG,2012/08/24 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,c46ee031-6440-4dc4-9454-034d320989df,290.7668732
55,APUD 69kV,69,69,APUD,Operational,Single,UG,Other_33_92kV,1,4652.309618,,,,,,APUD,,FTHONG,2012/08/24 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,a7d7b6e4-943f-4d5b-931f-f220e6bdee8c,1707.309705
56,APUD 69kV,69,69,APUD,Operational,Double,UG,Other_33_92kV,0,1394.749046,,,,,,APUD,,FTHONG,2012/08/24 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,829eb6d3-0ec7-43fe-bcdc-426e439cc790,511.397306
57,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,3,13346.81181,,,,,,APUD,,FTHONG,2012/08/24 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,1825b16d-ed7e-45b1-98ba-0702c8f82c08,4894.762251
58,APUD 69kV,69,69,APUD,Operational,Single,UG,Other_33_92kV,1,7597.869066,,,,,,APUD,,FTHONG,2012/08/24 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,d4856cfe-b331-4272-9b71-a68f11416c5c,2786.281452
59,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,0,803.5254591,,,,,,APUD,,FTHONG,2012/08/24 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,0aea11d6-e678-47b4-9816-ee0e3476f485,295.620491
60,APUD 69kV,69,69,APUD,Operational,Single,UG,Other_33_92kV,1,6842.009675,,,,,,APUD,,FTHONG,2012/08/24 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,ccd5b28e-1aa8-4a45-a73b-21d46fd20168,2513.711176
61,APUD 69kV,69,69,APUD,Operational,Single,UG,Other_33_92kV,1,6840.07315,,,,,,APUD,,FTHONG,2012/08/24 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:09+00,24a891b1-3f01-42c2-b092-841cd3c87ea2,2512.998464
62,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,0,630.5093878,,,,,,APUD,,FTHONG,2012/08/24 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:09+00,bbdf1a81-7784-4b19-a31c-1a1afa067d55,231.5203094
63,APUD 69kV,69,69,APUD,Operational,Single,UG,Other_33_92kV,0,1240.623254,,,,,,APUD,,FTHONG,2012/08/24 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:09+00,fb0cda92-6c94-45f3-b46a-67684c51a35c,455.7827962
64,APUD 69kV,69,69,APUD,Operational,Double,OH,Other_33_92kV,2,9679.900829,,,,,,APUD,,FTHONG,2012/08/24 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:09+00,94a846f0-28b3-4eb7-81ac-b1de128cfa04,3555.552517
65,APUD 69kV,69,69,APUD,Operational,Double,UG,Other_33_92kV,3,17141.41387,,,,,,APUD,,FTHONG,2012/08/24 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:09+00,42ca24ed-9704-4ab4-ba99-d33ef7c0231a,6301.736033
66,APUD 69kV,69,69,APUD,Operational,Single,UG,Other_33_92kV,2,9299.631463,,,,,,APUD,,FTHONG,2012/08/24 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:09+00,aab2225d-e645-4af3-9c9b-7ce713b80a6b,3415.300681
67,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,1,4902.296329,,,,,,APUD,,FTHONG,2012/08/24 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:09+00,375f21ec-058b-4a80-a4a3-5cbbb576be5c,1797.407327
68,APUD 69kV,69,69,APUD,Operational,Double,UG,Other_33_92kV,0,606.1275465,,,,,,APUD,,FTHONG,2012/08/24 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:09+00,5c9fad47-e42c-40ca-a286-47b553bed22d,222.543603
69,APUD 69kV,69,69,APUD,Operational,Single,UG,Other_33_92kV,2,11975.78638,,,,,,APUD,,FTHONG,2012/08/24 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:09+00,ceca112d-8e28-4f56-8027-9c83dc445169,4391.315935
70,BLYENG 220kV,220,220,BLYTHE ENERGY,Operational,Single,OH,Other_200_287kV,50,262841.052, , , , , ,Roger Johnson, ,FTHONG,2012/08/21 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:04+00,2a7959f5-68a5-43df-a5a6-8fcd237dc0d4,96189.49761
71,BLYENG 220kV,220,220,BLYTHE ENERGY,Operational,Double,OH,Other_200_287kV,17,88194.49984, , , , , ,Roger Johnson, ,ACOLE,2012/08/21 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:10+00,d6ba7ae3-6acb-4cd6-97be-13274aefc764,32287.43392
72,BPA 230kV,230,230,BPA,Operational,Single,OH,Other_200_287kV,67,356248.5035,Malin-Warner, ,1,H-Frame,Wood,NAIP, ,AKOZHEVNIKOV,2009/02/09 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:27:27+00,e3ef2249-82da-4bc4-ac35-3a429bfce045,145384.8703
73,BVES 34kV,34,34,BVES,Operational,Single,OH,Other_33_92kV,9,47558.64081,Shay And Baldwin,,,,,BVES,,PRECORD,2013/04/15 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:09+00,226f5ea0-48a9-48a9-b955-ab8c4f3ccf30,17560.6391
74,BVES 34kV,34,34,BVES,Operational,Single,OH,Other_33_92kV,2,8677.864112,,,,,,BVES,,FTHONG,2013/04/15 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:09+00,18a75742-c9fe-44f1-995c-0fe0e1c932f3,3204.662785
75,BVES 34kV,34,34,BVES,Operational,Single,OH,Other_33_92kV,1,3397.644771,,,,,,BVES,,PRECORD,2013/04/19 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:09+00,9e61118e-85f5-4bc4-bf8d-d5ec5568bcab,1254.923021
76,BVES 34kV,34,34,BVES,Operational,Single,OH,Other_33_92kV,4,22641.9616,,,,,,BVES,,PRECORD,2013/04/19 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:09+00,ad0e7d60-92ce-40b2-b2ce-47fe3d1ae929,8352.653419
77,BVES 34kV,34,34,BVES,Operational,Single,OH,Other_33_92kV,0,1666.887033,,,,,,BVES,,PRECORD,2013/04/19 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:09+00,38bf12cc-902d-471e-9f58-d7a54efa69e3,616.4773905
78,BVES 34kV,34,34,BVES,Operational,Single,OH,Other_33_92kV,1,4434.882744,,,,,,BVES,,PRECORD,2013/04/19 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:09+00,d51e04df-2f62-4bb8-8679-f35f1a56ff92,1637.226604
79,BVES 34kV,34,34,BVES,Operational,Single,OH,Other_33_92kV,1,6726.07874,,,,,,BVES,Partially underground,PRECORD,2013/04/19 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:09+00,562d43e2-910c-4b06-b5f6-885594ee2778,2481.556931
80,BVES 34kV,34,34,BVES,Operational,Single,OH,Other_33_92kV,1,5519.89366,,,,,,BVES,,PRECORD,2013/04/19 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:09+00,a71b5d0c-5fdd-4f1a-900e-141400abf2e8,2035.790183
81,BVES 34kV,34,34,BVES,Operational,Single,OH,Other_33_92kV,1,4799.7234,,,,,,BVES,,PRECORD,2013/04/19 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:09+00,6d475328-b53c-44b7-a921-7bd6a470cf82,1773.925222
82,BVES 34kV,34,34,BVES,Operational,Single,OH,Other_33_92kV,1,2956.980347,,,,,,BVES,,PRECORD,2013/04/19 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:09+00,893f4fef-64a8-43c4-8a28-0dfb15667b98,1092.359056
83,BVES 34kV,34,34,BVES,Operational,Single,OH,Other_33_92kV,1,5622.66264,,,,,,BVES,,PRECORD,2013/04/19 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:09+00,af8dfc8c-c48b-4ae9-b8e3-28c8186fd940,2075.332477
84,BVES 34kV,34,34,BVES,Operational,Single,OH,Other_33_92kV,1,6986.147794,,,,,,BVES,,PRECORD,2013/04/19 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:09+00,c8e7ed76-eed0-4114-8e0f-d1e2365c9c61,2579.561658
85,BVES 34kV,34,34,BVES,Operational,Single,OH,Other_33_92kV,0,175.7742567,,,,,,BVES,,PRECORD,2013/04/19 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:09+00,97f9cebc-a56d-4092-bd1a-b5f4e42ad959,65.0261143
86,BVES 34kV,34,34,BVES,Operational,Single,OH,Other_33_92kV,1,4601.989014,,,,,,BVES,,PRECORD,2013/04/19 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:09+00,71ef34fe-d7fd-4119-8a86-14edac2ddbe9,1695.37486
87,BVES 34kV,34,34,BVES,Operational,Single,OH,Other_33_92kV,1,4564.407636,,,,,,BVES,Partially underground,PRECORD,2013/04/19 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:10+00,9e5d6c6c-0e22-445a-ba16-13243fe02128,1687.431613
88,BVES 34kV,34,34,BVES,Operational,Single,OH,Other_33_92kV,3,13844.77734,,,,,,BVES,,PRECORD,2013/04/19 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:10+00,1972193b-1ccc-409f-9044-8eda62ff998b,5111.440654
89,BVES 34kV,34,34,BVES,Operational,Single,OH,Other_33_92kV,0,1902.478307,,,,,,BVES,,FTHONG,2013/04/19 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:10+00,b227079e-5c53-4464-b42c-233bebda53f5,702.4210874
90,BVES 33kV,33,33,BVES,Operational,Single,OH,Other_33_92kV,3,18048.23985,Radford-Harnish,,,,,Google & BING & ESRI & BVES,,FTHONG,2013/04/22 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:10+00,6fa63237-620a-46f6-a033-a25d1f7ce3dd,6670.239419
91,LIBERTY ENERGY 69kV,69,69,CALPECO,Operational,Liberty Energy,OH,Other_33_92kV,0,146.2402643, , , , , ,Jim Woodward, ,FTHONG,2011/08/08 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:27:20+00,523f0b2c-0af6-4612-9c7e-6937f29fcc63,57.65987407
92,LIBERTY ENERGY 69kV,69,69,CALPECO,Operational,Liberty Energy,OH,Other_33_92kV,3,15503.38897, , , , , ,Google Earth,Unsure path due to low resolution of aerial photo,FTHONG,2011/08/08 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:05+00,cdfcfb57-2445-49bd-a966-c48735baee2b,6117.610877
93,CCSF 115kV,115,115,CCSF,Operational,Double,OH,Other_110_161kV,20,105957.9501, , , , , ,Digital Globe, ,MTUCK,2008/11/07 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:27:22+00,6cbf6e52-f921-47d3-93b9-101d8e244c7c,40908.21248
94,CCSF 115kV,115,115,CCSF,Operational,Single,OH,Other_110_161kV,1,3743.463564, , , , , ,Digital Globe, ,MTUCK,2008/11/24 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:27:23+00,08b67e13-ba1e-4ec3-8e6c-d4756d284fca,1446.163905
95,CCSF 115kV,115,115,CCSF,Operational,Single,OH,Other_110_161kV,1,3745.713161, , , , , ,Digital Globe, ,MTUCK,2008/11/24 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:27:23+00,f548e215-b319-41ce-bf91-41c35a86901c,1447.035626
96,CCSF 115kV,115,115,CCSF,Operational,Double,OH,Other_110_161kV,41,215292.9959, , , , , ,Digital Globe, ,MTUCK,2008/11/24 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:27:23+00,4c883253-4e0b-4e7c-a57c-6eda4cf01d82,83032.97647
97,CCSF 115kV,115,115,CCSF,Operational,Double,OH,Other_110_161kV,28,149362.6218, , , , , ,Digital Globe, ,MTUCK,2008/11/24 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:27:23+00,8957ca2e-5016-45c2-b28b-f12d9689937e,57617.4311
