Utility Name,Date,Time,Latitude,Longitude,Material,Land use,Size,Suppressed By,Suppressing Agency,Facility Identification,Other Companies,Voltage,type,Was There Date,HFRA,cGIS HFRA HFTD,,Outage date,outage time,suspected equipment,Contributing Factor,Facility Contacted,Circuit,FIPA Form Name
SCE,8/18/20,16:00,34.2148,-118.197,Other,Urban,Less Than,,Los Angeles County Fire Department,OH-732723E,T2,,Distributio Conductor Overhead  No,,Tier 2,Y,AT&T CALI 16,,,,Contact From Object  Vegetation Electric Fa  Other,,Ravine,FIPA_2020_0818_1600
SCE,8/18/20,16:47,34.051,-118.648,Vegetation,Urban,.26 - 9.99,,Los Angeles County Fire Department,OH-GT111426,T3,,Distributio Conductor Overhead  No,,Tier 3,Y,Frontier Co 16,,,Equipmen  Conductor,,Other,Nicholas,FIPA_2020_0818_1647
SCE,8/18/20,15:14,34.5409,-117.365,Vegetation,Rural,Less Than,,,OH-4613951E,No,12,Distributio Other,Overhead  Yes,Non-HFRA N,,None,8/18/,15:14,Equipmen  Insulator,,Other,Beeline,FIPA_2020_0818_1514
SCE,8/19/20,11:18,34.5126,-117.367,Vegetation,Rural,Less Than,,,OH-263181S,No,,Distributio Conductor Overhead  Yes,,Non-HFRA N,,Frontier Co 12,8/19/20,11:18,,Contact From Object  Balloons   Electric Fa  Outside Force,,Olancha,FIPA_2020_0819_1118
SCE,8/19/20,8:21,34.1421,-117.887,Vegetation,Rural,Less Than,,Los Angeles County Fire Department,OH-1034427E,No,,Distributio Conductor Overhead  Yes,,Non-HFRA N,,Frontier Co 12,8/19/20,8:40,,Contact From Object  Vegetation Electric Fa  Other,,Mandarin,FIPA_2020_0819_0821
SCE,8/23/20,17:39,34.59,-118.203,Vegetation,Urban,Less Than,,Los Angeles County Fire Department,OH-4777412E,T3,12,Distributio Other,Overhead  Yes,Tier 3,Y,None,8/23/20,17:39,,Contact From Object  Balloons   Electric Fa  Outside Force,,Showdown,FIPA_2020_0823_1739
SCE,8/25/20,12:41,34.4508,-117.592,Vegetation,Rural,Less Than,,San Bernardino County Fire Department,OH-4006134E,No,12,Distributio Conductor Overhead  No,,Non-HFRA N,,None,,,Equipmen  Conductor,,Human Error,Lotto,FIPA_2020_0825_1241
SCE,8/29/20,11:29,34.1196,-117.32,Vegetation,Urban,Less Than,,San Bernardino County Fire Department,OH-704775E,No,,Distributio Conductor Overhead  No,,Non-HFRA N,,Frontier Co 12,,11:29,,Contact From Object  Vegetation Electric Fa  Other,,Shiraz,FIPA_2020_0829_1129
SCE,8/31/20,17:12,33.9387,-116.476,Other,RURAL,Less Than,,Riverside County Fire Department,OH-1556297E,No,,Distributio Other,Overhead  No,Non-HFRA N,,Frontier Co 12,,,Equipmen  Other,,Other,Cafe,FIPA_2020_0831_1712
SCE,9/4/20,18:01,34.7039,-118.13,Vegetation,Urban,Less Than,,Los Angeles County Fire Department,OH-970804E,No,,Distributio Conductor Overhead  No,,Non-HFRA N,,Frontier Co 12,9/4/20,18:01,,Contact From Object  Vegetation Electric Fa  Other,,Oban,FIPA_2020_0904_1801
SCE,9/5/20,14:29,33.7502,-117.033,Vegetation,Urban,Less Than,,Hemet Fire Department,OH-4214288E,No,12,Distributio Switch,Overhead  No,Non-HFRA N,,None,,,Equipmen  Switch,,Other,Rotec,FIPA_2020_0905_1429
SCE,9/6/20,15:05,34.1711,-118.055,Other,Urban,Less Than,,Sierra Madre Fire Department,OH-X7926E,T2,,Distributio Conductor Overhead  No,,Tier 2,Y,Frontier Co 16,,,Equipmen  Conductor,,Other,Baldwin,FIPA_2020_0906_1505
SCE,9/6/20,2:33,34.0892,-118.138,Other,Urban,Less Than,,,OH-1605216E,No,,Distributio Transform  Overhead  No,,Non-HFRA N,,AT&T CALI 16,,,Equipmen  Transformer,,Other,Triumph,FIPA_2020_0906_0233
SCE,9/17/20,8:33,34.0735,-117.877,Vegetation,Urban,Less Than,,West Covina Fire Department,OH-4828324E,No,,Distributio Conductor Overhead  Yes,,Non-HFRA N,,Frontier Co 12,9/17/20,8:33,Contact From Object  Other,,Electric Fa  Unknown,Barbossa,FIPA_2020_0917_0833
SCE,9/20/20,1:31,33.9134,-118.086,Vegetation,Urban,Less Than,,Los Angeles County Fire Department,OH-2006014E,No,12,Distributio Conductor Overhead  No,,Non-HFRA N,,None,,,Equipmen  Conductor,,Unknown,Musket,FIPA_2020_0920_0131
SCE,9/24/20,10:35,35.489,-118.528,Other,Rural,Less Than,,Kern County Fire Department,OH-1761180E,T3,,Distributio Conductor Overhead  No,,Tier 3,Y,AT&T CALI 12,,,Vandalism/Theft,,Other,Flying D,FIPA_2020_0924_1035
SCE,9/29/20,16:39,33.9175,-117.982,Vegetation,Urban,Less Than,,Los Angeles County Fire Department,OH-1509725E,No,,Distributio Other,Overhead  Yes,Non-HFRA N,,Frontier Co 12,9/29/20,16:39,Contact Fr,Vehicle,Electric Fa  Outside Force,Drum,FIPA_2020_0929_1639
SCE,10/3/20,17:45,34.3515,-118.562,Vegetation,Rural,Less Than,,,OH-2101062E,T3,,Distributio Conductor Overhead  No,,Tier 3,Y,AT&T CALI 16,,,Equipmen  Conductor,,Other,Calgrove,FIPA_2020_1003_1745
SCE,10/4/20,15:45,34.1616,-117.341,Vegetation,Urban,Less Than,,,OH-200686S,No,Frontier Co 4.16,Distributio Conductor Overhead  No,,Non-HFRA N,,,,,Equipmen  Conductor,,Other,Power,FIPA_2020_1004_1545
SCE,,18:32,34.5792,-117.359,Vegetation,Urban,.26 - 9.99,,Victorville Fire Department,OH-4531653E,No,33,Distributio Other,Overhead  Yes,Non-HFRA N,,None,,10/15/20 18:31,Contact From Object  Animal,,Electric Fa  Outside Force,Cement,FIPA_2020_1015_1832
SCE,,1:12,34.0618,-117.756,Vegetation,Urban,Less Than,,Pomona LACFD,OH-4098618E,No,,Distributio Conductor Overhead  No,,Non-HFRA N,,Frontier Co 12,,,Other,,Other,Parcells,FIPA_2020_1015_0112
SCE,,22:33,34.1053,-117.948,Building,Urban,Less Than,,Los Angeles County Fire Department,OH-4617757E,No,,Distributio Transform  Overhead  Yes,,Non-HFRA N,,Frontier Co 12,,10/16/20 22:42,Equipmen  Transformer,,Other,Amazon,FIPA_2020_1016_2233
SCE,,23:58,35.9769,-118.999,Vegetation,Rural,Less Than,,,OH-1895627E,No,,Distributio Conductor Overhead  No,,Non-HFRA N,,AT&T Calif 12,,,Vandalism/Theft,,Other,Deer,FIPA_2020_1019_2358
SCE,,4:12,36.2722,-119.316,Other,Urban,Less Than,,City of Visalia Fire Department,OH-1467831E,No,,Distributio Transform  Overhead  No,,Non-HFRA N,,AT&T Calif 12,,,Equipmen  Transformer,,Human Error,Tlsmith,FIPA_2020_1022_0412
SCE,,14:35,34.107,-117.485,Other,Rural,Less Than,,,OH-670473E,No,,Distributio Conductor Overhead  No,,Non-HFRA N,,AT&T Calif 12,,,Wire-Wire Contact,,Weather,Catawba,FIPA_2020_1026_1435
SCE,,11:56,34.0998,-118.593,Vegetation,Rural,Less Than,,Los Angeles County Fire Department,OH-795990E,T3,,Distributio Conductor Overhead  No,,Tier 3,Y,Frontier Co 16,,,Equipmen  Conductor,,Weather,Vicasa,FIPA_2020_1026_1156
SCE,,3:32,33.8763,-117.581,Vegetation,Urban,Less Than,,Corona City Fire Department,OH-1790807E,No,,Distributio Other,Overhead  No,Non-HFRA N,,AT&T Calif 12,,,,Contact From Object  Balloons   Electric Fa  Outside Force,,Border,FIPA_2020_1026_0332
SCE,,23:22,33.7843,-117.844,Vegetation,Urban,Less Than,,Orange County Fire Department,OH-1374367E,No,,Distributio Other,Overhead  Yes,Non-HFRA N,,AT&T Calif 12,,10/29/20 23:22,Equipmen  Other,,Other,Thelma,FIPA_2020_1029_2322
SCE,,15:34,34.0255,-117.079,Vegetation,Urban,.26 - 9.99,,,OH-4671710E,T2,12,Distributio Transform  Overhead  Yes,,Tier 2,Y,None,,10/31/20 15:09,Equipmen  Transformer,,Human Error,Nashville,FIPA_2020_1031_1534
SCE,11/5/20,5:45,34.4177,-119.756,Vegetation,Urban,Less Than,,Santa Barbara Fire Department,OH-4199184E,No,Frontier Co 4.16,Distributio Conductor Overhead  Yes,,Non-HFRA N,,,11/5/20,5:45,,Contact From Object  Vegetation Electric Fa  Other,,La Cumbre,FIPA_2020_1105_0545
SCE,11/9/20,7:49,34.0865,-116.52,Vegetation,Rural,Less Than,,,OH-1941931E,T3,12,Distributio Conductor Overhead  Yes,,Tier 3,Y,None,11/9/20,6:19,Equipmen  Conductor,,Other,Kickapoo Trail,FIPA_2020_1109_0749
SCE,11/9/20,18:16,34.4632,-119.892,Vegetation,Rural,Less Than,,Santa Barbara County Fire Department,OH-2023941E,T3,16,Distributio Conductor Overhead  Yes,,Tier 3,Y,None,11/9/20,20:18,Contact From Object  Animal,,Electric Fa  Outside Force,Bidder,FIPA_2020_1109_1816
SCE,,11:16,33.9607,117.249,Vegetation,Urban,Less Than,,Moreno Valley Fire Department,UG-5206035,No,12,Distributio Switch,Undergrou Yes,Non-HFRA N,,None,,11/10/20 11:20,Equipmen  Switch,,Other,Heers,VIPA_2020_1110_1116
SCE,,22:00,34.053,-118.063,Building,Urban,Less Than,,Los Angeles County Fire Department,OH-1237759E,No,AT&T Calif 4.16,Distributio Other,Overhead  No,Non-HFRA N,,,,,Unknown,,Unknown,Troy,FIPA_2020_1114_2200
SCE,,20:47,33.9028,-116.754,Vegetation,Urban,Less Than,,Riverside County Fire Department,OH-432067S,T3,,Distributio Conductor Overhead  No,,Tier 3,Y,Frontier Co 12,,,,Contact From Object  Balloons   Electric Fa  Outside Force,,Fingal,FIPA_2020_1118_2047
SCE,,15:09,34.122,117.977,Vegetation,Rural,Less Than,,Los Angeles Fire Duarte,OH-900297E,No,16,Distributio Other,Overhead  No,Non-HFRA N,,None,,,Equipmen  Pole,,Weather,Dusty,FIPA_2020_1118_1509
SCE,,1:44,33.9632,-118.247,Other,Urban,Less Than,,,OH-1933391E,No,,Distributio Conductor Overhead  Yes,,Non-HFRA N,,AT&T Calif 16,,11/23/20 1:45,Contamination,,Other,Kalmia,FIPA_2020_1123_0144
SCE,,10:51,34.1888,-118.869,Vegetation,Urban,Less Than,,Ventura Fire Department,OH-4735343E,T3,,Distributio Conductor Overhead  Yes,,Tier 3,Y,Frontier Co 16,,11/25/20 10:15,Equipmen  Conductor,,Human Error,Hampshire,FIPA_2020_1125_1051
SCE,,18:17,34.7144,-118.13,Other,Rural,Less Than,,,OH-306360E,No,12,Distributio Switch,Overhead  No,Non-HFRA N,,None,,11/26/20 18:17,Equipmen  Switch,,other,Oban,FIPA_2020_1126_1817
SCE,,21:02,34.0723,-118.588,Vegetation,Rural,.26 - 9.99,,Los Angeles Fire Department,OH-4535641E,T3,,Distributio Other,Overhead  Yes,Tier 3,Y,Verizon W 16,,11/30/20 21:02,Contact From Object  Vehicle,,Electric Fa  Outside Force,Vicasa,FIPA_2020_1130_2102
SCE,,8:12,34.1279,-118.059,Other,Urban,Less Than,,,OH-1271478E,No,,Distributio Other,Overhead  No,Non-HFRA N,,AT&T Calif 16,,,Contact From Object  Animal,,Electric Fa  Outside Force,Locksley,FIPA_2020_1130_0812
SCE,,22:18,33.68,-117.903,Vegetation,Urban,Less Than,,,OH-1462050E,No,12,Distributio Conductor Overhead  No,,Non-HFRA N,,None,,,,Contact From Object  Vegetation Electric Fa  Other,,Moonwalk,FIPA_2020_1213_2218
SCE,,4:00,33.8042,-118.362,Vegetation,Urban,Less Than,,Torrance Fire Department,OH-229022E,T2,16,Distributio Conductor Overhead  Yes,,Tier 2,Y,None,,12/14/20 4:05,Equipmen  Pole,,Other,Pinzon,FIPA_2020_1214_0400
SCE,,10:16,34.0459,-117.201,Other,Urban,Less Than,,,OH-817035E,No,,Distributio Conductor Overhead  No,,Non-HFRA N,,Frontier Co 12,,,,Contact From Object  Balloons   Electric Fa  Outside Force,,Sturgeon,FIPA_2020_1214_1016
SCE,,10:00,34.1252,-117.21,Vegetation,Urban,Less Than,,San Bernardino County Fire Department,OH-1971562E,No,12,Distributio Fuse,Overhead  Yes,Non-HFRA N,,None,,12/15/20 9:48,Contact From Object  Animal,,Electric Fa  Outside Force,Abacus,FIPA_2020_1215_1000
SCE,,9:19,34.1241,-117.626,Vegetation,Urban,Less Than,,,OH-2152996E,No,,Distributio Lightning A Overhead  Yes,,Non-HFRA N,,Frontier Co 12,,12/20/20 9:13,Contact From Object  Animal,,Electric Fa  Outside Force,Cagli,FIPA_2020_1220_0919
SCE,,18:45,35.0349,-118.169,Vegetation,Rural,Less Than,,Kern County Fire Department,OH-4072932E,No,12,Distributio Conductor Overhead  Yes,,Non-HFRA N,,None,,12/22/20 18:51,Contact From Object  Other,,Electric Fa  Outside Force,Carbon,FIPA_2020_1222_1845
SCE,,14:26,33.9718,-116.504,Other,Urban,.26 - 9.99,,Riverside County Fire Department,OH-4029775E,No,12,Distributio Transform  Overhead  No,,Non-HFRA N,,None,,,Other,,Other,Rover,FIPA_2020_1223_1426
