Utility Name,Date,Time,Latitude,Longitude,Material,Land use,Size,Suppressed By,Suppressing Agency,Facility Identification,Other Companies,Voltage,type,Was There Date,HFRA,cGIS HFRA HFTD,,Outage date,outage time,suspected equipment,Contributing Factor,Facility Contacted,Circuit,FIPA Form Name
SCE,5/23/20,16:37,34.4139,-119.526,Vegetation,Urban,Less Than,,,OH-4404319E,No,,Distributio Other,Overhead  Yes,Non-HFRA N,,Frontier Co 16,5/23/20,13:11,Contact From Object  Animal,,Electric Fa  Outside Force,Sheffield,FIPA_2020_0523_1637
SCE,5/26/20,19:59,34.4206,-117.311,Vegetation,Rural,Less Than,,,OH-2155313E,No,,Distributio Transform  Overhead  Yes,,Non-HFRA N,,Frontier Co 12,5/26/20,4:59,Equipmen  Transformer,,Other,Balsam,FIPA_2020_0526_1959
SCE,5/26/20,22:39,34.1034,-116.498,Other,Rural,10 - 99 Acres,,Cal Fire,OH-2350470E,T3,12,Distributio Conductor Overhead  No,,Tier 3,Y,None,,,Vandalism/Theft,,Other,Kickapoo Trail,FIPA_2020_0526_2239
SCE,5/28/20,6:14,34.3947,-118.682,Vegetation,Urban,Less Than,,Los Angeles County Fire Department,M6-T5,T3,66,Transmissi Other,Overhead  Yes,Tier 3,Y,None,5/28/20,6:14,Contact From Object  Animal,,Electric Fa  Outside Force,SAUGUS-MOORPAR FIPA_2020_0528_0614,
SCE,5/29/20,14:23,34.1101,-117.267,Vegetation,Urban,Less Than,,,OH-4003908E,No,12,Distributio Other,Overhead  Yes,Non-HFRA N,,None,5/29/20,14:23,Other,,Unknown,Zapata,FIPA_2020_0529_1423
SCE,6/1/20,17:14,33.8913,-118.214,Vegetation,Rural,Less Than,,,OH-4371854E,No,AT&T CALI 4.16,Distributio Conductor Overhead  No,,Non-HFRA N,,,,,,Contact From Object  Vegetation Electric Fa  Other,,Agnes,FIPA_2020_0601_1714
SCE,6/2/20,7:54,34.4923,-118.621,Vegetation,Urban,Less Than,,Los Angeles County Fire Department,OH-4393756E,T3,,Distributio Other,Overhead  Yes,Tier 3,Y,AT&T Com 16,6/2/20,7:54,Contact From Object  Animal,,Electric Fa  Outside Force,Tambourine,FIPA_2020_0602_0754
SCE,6/2/20,11:09,33.7349,-117.929,Other,Urban,Less Than,,Orange County Fire Department,OH-2145959E,No,,Distributio Conductor Overhead  No,,Non-HFRA N,,AT&T Com 12,,,Equipmen  Conductor,,Other,TITTLE,FIPA_2020_0602_1109
SCE,6/3/20,12:23,34.1333,-118.852,Vegetation,Urban,Less Than,,Ventura County Fire Department,OH-1848408E,T3,16,Distributio Other,Overhead  No,Tier 3,Y,None,,,Contact From Object  Vehicle,,Electric Fa  Outside Force,La Mancha,FIPA_2020_0603_1223
SCE,6/3/20,19:57,35.3849,-117.725,Vegetation,Rural,Less Than,,Kern County Fire Department,OH-4390703E,No,33,Distributio Conductor Overhead  Yes,,Non-HFRA N,,None,6/3/20,19:57,Equipmen  Insulator,,Other,Heavy,FIPA_2020_0603_1957
SCE,6/5/20,17:33,35.7635,-118.422,Vegetation,Rural,.26 - 9.99,,Kern County Fire Department,OH-4451126E,T3,12,Distributio Other,Overhead  Yes,Tier 3,Y,None,6/5/20,17:33,Contact From Object  Animal,,Electric Fa  Outside Force,Bonanza,FIPA_2020_0605_1733
SCE,6/5/20,15:43,34.6602,-118.225,Other,Urban,10 - 99 Acres,,,OH-K4922Y,No,12,Distributio Conductor Overhead  No,,Non-HFRA N,,None,,,,Contact From Object  Vegetation Electric Fa  Other,,Yoda,FIPA_2020_0605_1543
SCE,6/7/20,5:50,34.4885,-118.617,Other,Urban,Less Than,,,OH-1871383E,T3,16,Distributio Conductor Overhead  No,,Tier 3,Y,None,,,Wire-Wire Contact,,Other,Trumpet,FIPA_2020_0607_0550
SCE,6/7/20,15:09,34.4885,-118.617,Vegetation,Urban,Less Than,,Los Angeles County Fire Department,OH-4393062E,T3,,Distributio Conductor Overhead  Yes,,Tier 3,Y,AT&T Com 16,6/7/20,15:09,,Contact From Object  Vegetation Electric Fa  Other,,Calgrove,FIPA_2020_0607_1509
SCE,6/7/20,21:45,34.3067,-118.72,Vegetation,Urban,.26 - 9.99,,,M13-T1,T3,66,Transmissi Other,Overhead  Yes,Tier 3,Y,None,7/6/20,21:45,Contact From Object  Animal,,Electric Fa  Outside Force,SAUGUS-MOORPAR FIPA_2020_0607_2145,
SCE,6/8/20,12:24,34.494,-117.55,Other,Rural,Less Than,,San Bernardino County Fire Department,OH-4106577E,No,12,Distributio Conductor Overhead  Yes,,Non-HFRA N,,None,6/8/20,12:24,Contact From Object  Animal,,Electric Fa  Outside Force,Lotto,FIPA_2020_0608_1224
SCE,6/9/20,9:25,34.1594,-118.029,Other,Urban,Less Than,,Arcadia Fire Department,OH-922692E,T2,AT&T Com 4.16,Distributio Other,Overhead  Yes,Tier 2,Y,,6/9/20,9:25,Equipmen  Other,,Other,Oakwood,FIPA_2020_0609_0925
SCE,6/9/20,21:42,34.4674,-119.905,Vegetation,Urban,Less Than,,Santa Barbara Fire Department,OH-219558E,T3,,Distributio Transform  Overhead  No,,Tier 3,Y,Frontier Co 16,,,Equipmen  Other,,Other,Bidder,FIPA_2020_0609_2142
SCE,6/9/20,12:40,33.9975,-117.649,Vegetation,Urban,.26 - 9.99,,Ontario Fire Department,OH-1463533E,No,,Distributio Fuse,Overhead  No,Non-HFRA N,,Frontier Co 12,,,,Contact From Object  Balloons   Electric Fa  Outside Force,,Borba,FIPA_2020_0609_1240
SCE,6/9/20,14:50,34.0515,-118.026,Vegetation,Urban,Less Than,,Los Angeles County Fire Department,OH-882039E,No,AT&T Calif 4.16,Distributio Conductor Overhead  Yes,,Non-HFRA N,,,6/9/20,15:31,Equipmen  Conductor,,Unknown,Weaver,FIPA_2020_0609_1450
SCE,6/9/20,19:47,34.2284,-119.072,Vegetation,Urban,Less Than,,,OH-2116776E,No,,Distributio Other,Overhead  No,Non-HFRA N,,Frontier Co 16,,,Equipmen  Other,,Other,Estaban,FIPA_2020_0609_1947
SCE,6/9/20,16:42,35.1384,-118.481,Other,Rural,Less Than,,Kern County Fire Department,OH-4707894E,T3,12,Distributio Conductor Overhead  No,,Tier 3,Y,None,,,Equipmen  Other,,Other,Viento,FIPA_2020_0609_1642
SCE,6/10/20,17:00,34.1444,-118.067,Other,Urban,Less Than,,,OH-656697E,No,,Distributio Conductor Overhead  No,,Non-HFRA N,,AT&T Com 16,,,Equipmen  Pole,,Other,Elmer,FIPA_2020_0610_1700
SCE,6/10/20,15:33,36.2374,-119.493,Other,Rural,Less Than,,,OH-703067E,No,,Distributio Conductor Overhead  Yes,,Non-HFRA N,,AT&T Calif 12,6/10/20,15:33,Contact From Object  Animal,,Electric Fa  Outside Force,Windt,FIPA_2020_0610_1533
SCE,6/11/20,8:15,33.7476,-118.38,Other,Urban,Less Than,,,OH-1803572E,T2,16,Distributio Other,Overhead  Yes,Tier 2,Y,None,6/11/20,8:15,Contact From Object  Animal,,Electric Fa  Outside Force,Shoreline,FIPA_2020_0611_0815
SCE,6/11/20,8:15,33.7476,-118.381,Other,Urban,Less Than,,,OH-975271E,T2,16,Distributio Other,Overhead  Yes,Tier 2,Y,None,6/11/20,8:15,Contact From Object  Animal,,Electric Fa  Outside Force,Shoreline,FIPA_2020_0611_0815
SCE,6/11/20,14:37,35.7516,-119.062,Other,Rural,Less Than,,,M111-T5,No,220,Transmissi Other,Overhead  No,Non-HFRA N,,None,,,Contact From Object  Animal,,Electric Fa  Outside Force,MAGUNDEN-VESTA FIPA_2020_0611_1437,
SCE,6/11/20,15:00,36.3542,-119.135,Vegetation,Rural,Less Than,,,OH-4594904E,No,12,Distributio Switch,Overhead  No,Non-HFRA N,,None,,,Equipmen  Switch,,Other,Wells,FIPA_2020_0611_1500
